race_id,jurisdiction,position,ocdid,div_id,race_name,description,district,number,notes
1,state,governor,ocd-division/country:us/state:tn,tennessee-governor,Tennessee Governor,"Gov. Bill Haslam is considered a safe bet for re-election this November. The Republican incumbent is seeking a second four-year term as the state's top executive. Little is known about his Democratic challenger, Charles ""Charlie"" Brown, who's only campaign presence prior to August was a Facebook profile.",,,
2,federal,senate,ocd-division/country:us/state:tn,us-senate,U.S. Senate,"Republican Sen. Lamar Alexander is pursuing his third term representing Tennessee in the U.S. Senate. He is being challenged by Democratic candidate Gordon Ball, a Knoxville attorney. The winner of this race will serve a six-year term.",,,
3,federal,house,ocd-division/country:us/state:tn/cd:3,us-house-tn03,"U.S. House, Tennessee's 3rd Congressional District","Rep. Chuck Fleischmann survived a tough, contested Republican primary in August to run for his third term as the representative for Tennessee's 3rd Congressional District. He once again faces Democratic candidate Mary Headrick, a physician from Maynardville, Tenn.",3,,
4,state,senate,ocd-division/country:us/state:tn/sldu:11,tennessee-senate-district-11,"Tennessee Senate, 11th District",State Sen. Bo Watson is running unopposed in the November election. The Republican senator was first elected in 2006 after serving in the state House. The 11th District encompasses the northern portion of Hamilton County.,11,,
5,state,house,ocd-division/country:us/state:tn/sldl:26,tennessee-house-district-26,"Tennessee House, 26th District","State Rep. Gerald McCormick is running unopposed in the November election. The Republican Majority Leader was first elected in 2004. The 26th District includes North Chattanooga, Hixson and Harrison.",26,,
6,state,house,ocd-division/country:us/state:tn/sldl:27,tennessee-house-district-27,"Tennessee House, 27th District","Two candidates are vying for an open seat in the state House's 27th District. Republican Patsy Hazlewood faces Democrat Eric McRoy this November to represent a district that includes St. Elmo, Lookout Mountain, Signal Mountain and Red Bank.",27,,
7,state,house,ocd-division/country:us/state:tn/sldl:28,tennessee-house-district-28,"Tennessee House, 28th District","State Rep. JoAnne Favors is running unopposed in the November election. The Democratic representative was first elected in 2004. The 28th District includes Alton Park, downtown Chattanooga, east Chattanooga, and other areas south of the Tennessee River.",28,,
8,state,house,ocd-division/country:us/state:tn/sldl:29,tennessee-house-district-29,"Tennessee House, 29th District","State Rep. Mike Carter is running unopposed in the November election. The Republican representative was first elected in 2012. The 29th District includes Brainerd, East Brainerd, parts of Collegedale, and Ooltewah.",29,,
9,state,house,ocd-division/country:us/state:tn/sldl:30,tennessee-house-district-30,"Tennessee House, 30th District","Republican Marc Gravitt, East Ridge City Council member and business owner, is running unopposed in the November election for an open seat. The 30th District includes East Ridge, parts of East Brainerd and Collegedale, and Apison.",30,,
10,collegedale,commission,ocd-division/country:us/state:tn/place:collegedale,collegedale-commissioner,Collegedale Board of Commissioners,Two seats on Collegedale's Board of Commissioners are up for election. (Four candidates) are running in the race to represent the entire city on the commission. The two candidates with the most votes in November will serve four-year terms.,,2,At large
11,east-ridge,mayor,ocd-division/country:us/state:tn/place:east_ridge,east-ridge-mayor,East Ridge Mayor,The East Ridge mayor presides over City Council meetings and represents the city for ceremonial purposes. The winner of the citywide election will serve a four-year term.,,,At large
12,east-ridge,council,ocd-division/country:us/state:tn/place:east_ridge,east-ridge-council-member,East Ridge City Council,Two positions on the East Ridge City Council are up for election. (Seven candidates) are running in the race to represent the entire city on the council. The two candidates with the most votes in November will serve four-year terms.,,2,At large
13,lakesite,commission,ocd-division/country:us/state:tn/place:lakesite,lakesite-commissioner,Lakesite City Commission,Three positions on the Lakesite City Commission are up for election. (Four candidates) are running in the race to represent the entire city on the commission. The three candidates with the most votes in November will serve four-year terms.,,3,At large
14,red-bank,commission,ocd-division/country:us/state:tn/place:red_bank,red-bank-commissioner-atlarge,"Red Bank City Commission, At Large",,at-large,,
15,red-bank,commission,ocd-division/country:us/state:tn/place:red_bank,red-bank-commissioner-district-1,"Red Bank City Commission, 1st District",,1,,
16,red-bank,commission,ocd-division/country:us/state:tn/place:red_bank,red-bank-commissioner-district-3,"Red Bank City Commission, 3rd District",,3,,Special election to fill vacancy of Kenneth Welch
17,ridgeside,commission,ocd-division/country:us/state:tn/place:ridgeside,ridgeside-commissioner,Ridgeside City Commission,,,3,At large
18,signal-mountain,council,ocd-division/country:us/state:tn/place:signal_mountain,signal-mountain-council,Signal Mountain Town Council,,,3,At large
19,soddy-daisy,commission,ocd-division/country:us/state:tn/place:soddy-daisy,soddy-daisy-commissioner,Soddy-Daisy City Commission,,,2,At large
20,walden,mayor,ocd-division/country:us/state:tn/place:walden,walden-mayor,Walden Mayor,,,,
21,walden,alderman,ocd-division/country:us/state:tn/place:walden,walden-alderman,Walden Alderman,,,2,At large
22,state,ballot-measure,ocd-division/country:us/state:tn,tennessee-amendments,Tennessee Constitutional Amendments,,,4,
23,chattanooga,ballot-measure,ocd-division/country:us/state:tn/place:chattanooga,chattanooga-ballot-measures,Chattanooga Ballot Measures,,,,?WIG
24,collegedale,ballot-measure,ocd-division/country:us/state:tn/place:collegedale,collegedale-ballot-measures,Collegedale Ballot Measures,,,,?WIG
25,east-ridge,ballot-measure,ocd-division/country:us/state:tn/place:east_ridge,east-ridge-ballot-measures,East Ridge Ballot Measures,,,,"WIG, 4 charter amendments"
26,lakesite,ballot-measure,ocd-division/country:us/state:tn/place:lakesite,lakesite-ballot-measures,Lakesite Ballot Measures,,,,WIG
27,lookout-mountain,ballot-measure,ocd-division/country:us/state:tn/place:lookout_mountain,lookout-mountain-ballot-measures,Lookout Mountain Ballot Measures,,,,?WIG
28,red-bank,ballot-measure,ocd-division/country:us/state:tn/place:red_bank,red-bank-ballot-measures,Red Bank Ballot Measures,,,,WIG
29,signal-mountain,ballot-measure,ocd-division/country:us/state:tn/place:signal_mountain,signal-mountain-ballot-measures,Signal Mountain Ballot Measures,,,,WIG
30,soddy-daisy,ballot-measure,ocd-division/country:us/state:tn/place:soddy-daisy,soddy-daisy-ballot-measures,Soddy-Daisy Ballot Measures,,,,"?WIG, package stores"
31,walden,ballot-measure,ocd-division/country:us/state:tn/place:walden,walden-ballot-measures,Walden Ballot Measures,,,,?WIG
32,hamilton-county,,,unincorporated-hamilton-county-ballot-measures,Hamilton County Ballot Measures,,,,?WIG â€“ Will have to figure out how to represent
